iter	Passed	Remaining
0	5	2080
1	10	2108
2	15	1999
3	20	2000
4	27	2178
5	33	2172
6	38	2152
7	43	2131
8	48	2114
9	53	2099
10	59	2111
11	64	2092
12	69	2065
13	74	2043
14	79	2029
15	83	2008
16	88	1992
17	93	1983
18	97	1964
19	103	1962
20	108	1957
21	112	1941
22	117	1923
23	122	1925
24	127	1912
25	132	1899
26	137	1898
27	142	1891
28	146	1874
29	150	1857
30	155	1850
31	159	1839
32	164	1828
33	168	1818
34	173	1808
35	177	1793
36	181	1781
37	186	1779
38	190	1767
39	195	1757
40	199	1748
41	204	1745
42	208	1732
43	212	1720
44	217	1712
45	222	1708
46	226	1701
47	230	1693
48	235	1687
49	240	1680
50	244	1671
51	248	1664
52	253	1658
53	257	1650
54	261	1642
55	266	1638
56	271	1632
57	275	1622
58	279	1616
59	284	1611
60	288	1603
61	292	1595
62	297	1589
63	302	1586
64	306	1578
65	311	1574
66	316	1571
67	320	1566
68	325	1560
69	330	1557
70	335	1553
71	339	1547
72	343	1540
73	349	1538
74	353	1531
75	358	1527
76	362	1522
77	367	1517
78	372	1514
79	378	1514
80	383	1511
81	388	1507
82	393	1503
83	398	1497
84	403	1493
85	407	1488
86	413	1486
87	417	1481
88	422	1476
89	427	1471
90	432	1467
91	436	1461
92	440	1454
93	445	1450
94	449	1444
95	454	1437
96	458	1433
97	463	1428
98	468	1424
99	472	1418
100	477	1413
101	481	1407
102	486	1402
103	491	1398
104	496	1393
105	501	1389
106	505	1384
107	510	1381
108	515	1376
109	520	1371
110	525	1367
111	529	1362
112	534	1356
113	538	1350
114	543	1345
115	547	1339
116	551	1334
117	556	1329
118	561	1324
119	565	1319
120	569	1313
121	574	1309
122	579	1304
123	583	1299
124	588	1294
125	593	1289
126	597	1285
127	601	1279
128	606	1273
129	610	1267
130	614	1262
131	618	1256
132	623	1252
133	628	1247
134	632	1241
135	638	1238
136	643	1234
137	647	1229
138	652	1225
139	658	1222
140	662	1217
141	666	1211
142	671	1206
143	676	1202
144	681	1198
145	685	1193
146	690	1189
147	694	1183
148	699	1177
149	703	1172
150	708	1168
151	712	1162
152	716	1156
153	721	1151
154	725	1146
155	729	1141
156	734	1136
157	739	1132
158	743	1127
159	748	1122
160	753	1119
161	758	1113
162	762	1108
163	767	1103
164	772	1099
165	777	1095
166	781	1090
167	786	1086
168	792	1082
169	796	1077
170	801	1073
171	806	1068
172	810	1063
173	815	1059
174	820	1054
175	824	1049
176	828	1044
177	833	1039
178	838	1035
179	842	1030
180	847	1025
181	852	1021
182	857	1016
183	862	1012
184	867	1007
185	871	1003
186	876	998
187	881	994
188	886	989
189	890	984
190	894	978
191	900	975
192	905	970
193	910	966
194	914	961
195	919	957
196	924	952
197	928	947
198	934	943
199	938	938
200	943	933
201	947	928
202	952	924
203	956	919
204	961	914
205	965	909
206	970	905
207	975	900
208	979	895
209	984	890
210	988	885
211	994	881
212	999	877
213	1003	872
214	1008	867
215	1012	862
216	1017	857
217	1021	852
218	1026	848
219	1031	843
220	1036	839
221	1040	834
222	1046	830
223	1051	826
224	1055	821
225	1060	816
226	1064	811
227	1069	806
228	1074	802
229	1078	797
230	1083	792
231	1087	787
232	1092	783
233	1097	778
234	1101	773
235	1105	768
236	1110	764
237	1115	759
238	1119	754
239	1123	749
240	1128	744
241	1132	739
242	1136	734
243	1141	729
244	1145	724
245	1149	719
246	1153	714
247	1158	710
248	1162	705
249	1167	700
250	1172	695
251	1177	691
252	1182	686
253	1186	682
254	1192	677
255	1196	672
256	1200	668
257	1205	663
258	1210	658
259	1214	653
260	1218	649
261	1223	644
262	1227	639
263	1231	634
264	1236	629
265	1240	625
266	1245	620
267	1249	615
268	1254	610
269	1258	606
270	1262	601
271	1267	596
272	1272	591
273	1276	587
274	1281	582
275	1286	578
276	1291	573
277	1295	568
278	1299	563
279	1304	558
280	1308	554
281	1313	549
282	1318	545
283	1322	540
284	1327	535
285	1332	531
286	1337	526
287	1341	521
288	1346	517
289	1351	512
290	1355	507
291	1359	502
292	1363	498
293	1369	493
294	1373	488
295	1378	484
296	1382	479
297	1387	475
298	1392	470
299	1397	465
300	1403	461
301	1407	456
302	1411	451
303	1416	447
304	1421	442
305	1426	438
306	1431	433
307	1436	428
308	1440	424
309	1444	419
310	1450	414
311	1454	410
312	1459	405
313	1465	401
314	1471	396
315	1475	392
316	1480	387
317	1485	382
318	1489	378
319	1494	373
320	1499	369
321	1504	364
322	1509	359
323	1514	355
324	1519	350
325	1523	345
326	1527	340
327	1531	336
328	1536	331
329	1540	326
330	1545	322
331	1549	317
332	1554	312
333	1559	308
334	1564	303
335	1568	298
336	1572	294
337	1577	289
338	1582	284
339	1587	280
340	1592	275
341	1596	270
342	1601	266
343	1605	261
344	1610	256
345	1614	251
346	1619	247
347	1624	242
348	1628	238
349	1633	233
350	1637	228
351	1643	224
352	1647	219
353	1651	214
354	1657	210
355	1661	205
356	1665	200
357	1669	195
358	1674	191
359	1678	186
360	1683	181
361	1688	177
362	1693	172
363	1697	167
364	1701	163
365	1706	158
366	1711	153
367	1715	149
368	1720	144
369	1724	139
370	1729	135
371	1733	130
372	1738	125
373	1743	121
374	1747	116
375	1752	111
376	1757	107
377	1762	102
378	1766	97
379	1771	93
380	1775	88
381	1780	83
382	1785	79
383	1790	74
384	1794	69
385	1798	65
386	1803	60
387	1807	55
388	1811	51
389	1815	46
390	1819	41
391	1824	37
392	1828	32
393	1832	27
394	1837	23
395	1841	18
396	1845	13
397	1850	9
398	1855	4
399	1860	0
